iter	Passed	Remaining
0	1	169
1	3	185
2	5	169
3	6	153
4	7	147
5	9	143
6	10	140
7	11	137
8	13	135
9	15	137
10	16	136
11	18	137
12	20	135
13	21	134
14	23	133
15	24	131
16	27	133
17	28	131
18	30	128
19	31	126
20	32	124
21	34	121
22	35	119
23	36	116
24	38	114
25	39	112
26	40	110
27	42	108
28	43	106
29	44	104
30	46	102
31	47	101
32	50	101
33	51	100
34	53	98
35	54	96
36	55	95
37	57	93
38	58	91
39	59	89
40	60	87
41	61	84
42	62	83
43	63	81
44	65	79
45	66	77
46	67	76
47	68	74
48	70	73
49	71	71
50	73	70
51	74	68
52	76	67
53	77	65
54	78	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	86	53
62	88	51
63	89	50
64	90	48
65	91	47
66	93	45
67	94	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	104	32
76	105	31
77	106	30
78	107	28
79	108	27
80	110	25
81	111	24
82	112	23
83	113	21
84	114	20
85	115	18
86	117	17
87	119	16
88	120	14
89	122	13
90	123	12
91	124	10
92	125	9
93	126	8
94	127	6
95	129	5
96	130	4
97	131	2
98	132	1
99	134	0
